Place,Count
Aachen,6
Adda,3
Afrika,9
Ahlden,6
Ahlefeldt,9
Alpen,3
Alster,3
Altdorf,6
Altona,6
Amerika,9
Amsterdam,24
Amsterdamer,3
Anhalt,21
Anjou,3
Ansbach,9
Antwerpen,3
Aquileja,3
Arenberg,3
Armenier,3
Armorika,3
Asien,3
Astrachan,3
Augsburg,6
Augsburger,3
Australier,3
Auvergne,3
Avranches,9
Baden,3
Bamberg,6
Barcelona,12
Bayern,66
Bayreuth,6
Beichlingen,3
Belgrad,21
Bellamont,6
Bender,3
Berlin,453
Bevern,12
Bille,3
Blankenburg,9
Bonn,3
Borgholzhausen,3
Borgoforte,3
Boulogne,3
Bourg,3
Brandenburg,111
Brandenburger,9
Breda,3
Bremen,9
Brenta,3
Brescello,3
Breslau,18
Bretagne,3
Bristol,3
Bruchhausen,6
Brüssel,9
Buckow,6
Buda,9
Burgdorf,9
Burgund,12
Böhmen,9
Bückeburg,12
Cadiz,3
Cambray,3
Cambridge,3
Campen,3
Celle,120
Chaldäa,9
Chaldäer,3
Champagne,3
Charlottenburg,9
China,30
Chinese,9
Chios,3
Clausthal,3
Condom,3
Coppenbrügge,3
Crossen,3
Dalmatien,3
Danzig,9
Den Haag,24
Dennem,3
Detmold,3
Deutschland,63
Dixmuiden,3
Dohna,3
Donau,18
Donauwörth,9
Dover,3
Dresden,36
Däne,39
Dänemark,105
Düsseldorf,3
Ebstorf,12
Eider,6
Elbe,21
Elbing,3
England,459
Engländer,147
Ephesus,3
Essen,3
Etsch,3
Euböa,3
Europa,48
Europäer,6
Ferrara,3
Finnland,12
Flandern,3
Florenz,12
Franken,6
Frankfurt,18
Frankfurt an der Oder,3
Frankreich,366
Franzose,36
Freising,3
Friesland,3
Fuentes,3
Fürstenberg,6
Fürstenfeldbruck,3
Gandersheim,6
Gargan,3
Genf,3
Genua,6
Gibel,3
Gibraltar,3
Glogau,3
Goslar,3
Gotha,3
Graupen,3
Greiffenstein,3
Greifswald,3
Grieche,3
Großbritannien,63
Großburgwedel,3
Grönland,3
Gundelsheim,3
Göhrde,21
Göteborg,6
Güstrower,3
Hackelberg,3
Halle,9
Hamburg,48
Hammerstein,9
Hannover,714
Hanover,18
Harburg,12
Harburger,6
Harz,21
Heidelberg,6
Helmstedt,27
Herford,3
Herzberg,3
Hessen,6
Hessen-Kassel,6
Het Loo,12
Hildesheim,60
Hildesheimer,3
Holland,159
Holländer,57
Holstein,39
Homburg,3
Hundisburg,3
Idria,3
Ilok,3
Indien,18
Ingenheim,3
Inn,6
Innsbruck,6
Irland,6
Israel,3
Italien,72
Italiener,15
Jena,9
Jerusalem,3
Kairo,6
Kanarische Inseln,3
Kap der Guten Hoffnung,3
Karlsbad,27
Kasan,3
Kassel,30
Kehl,3
Kiel,3
Kiew,3
Kliszów,3
Kniphausen,3
Koblenz,3
Konstantinopel,12
Kopenhagen,3
Krakau,36
Kroatien,3
Kurland,18
Kurpfalz,3
Kärnten,3
Köln,36
Königreich,9
Königsberg,3
Königsmarck,3
Königstein,9
Köpenick,6
La Trappe,3
Lamspringe,6
Landsberg,3
Lauenburg,3
Laxemburg,3
Laxenburg,3
Lehnin,9
Leipzig,24
Lenzen,9
Levante,6
Lichtenburg,3
Lietzenburg,117
Lietzenburger,3
Linsburg,54
Linz,12
Lissenheim,3
Litauen,12
Litauer,3
Livland,9
Loccum,27
Lombardei,6
London,39
Loreto,3
Lothringen,36
Lustenburg,12
Lyon,9
Lübeck,3
Lüneborg,3
Lüneburg,24
Lüttich,15
Maas,12
Maastricht,6
Madrid,6
Magdeburg,27
Mailand,15
Mailändisch,3
Maine,6
Maintenon,3
Mainz,9
Malchow,3
Malta,3
Mantua,6
Marienbad,3
Marlborough,24
Martinitz,3
Maubuisson,9
Meaux,42
Mecklenburg,15
Melle,3
Memel,3
Merseburg,3
Meseritz,3
Mittelmeer,3
Modena,48
Monferrato,3
Monmouth,3
Montepulciano,3
Moray,3
Morea,3
Moskau,21
München,18
Münster,15
Namur,3
Nassau,6
Nauplia,3
Neapel,12
Neuburg,3
Newcastle,3
Niederlande,21
Niedersachsen,3
Niederösterreich,3
Nienburg,6
Nimwegen,3
Nizza,3
Nola,3
Nordburg,3
Nordhausen,15
Nordmeer,3
Norwegen,6
Nöteburg,6
Nürnberg,3
OberUngarn,3
Oberrhein,3
Oeynhausen,3
Oldenburg,3
Orange,12
Oranien,36
Oranienbaum,6
Oranienburg,27
Orléans,36
Ormonde,3
Osnabruck,6
Osnabrück,30
Osnabrücker,9
Osterode,6
Ostfriesland,27
Ostrog,3
Ostsee,9
Paderborn,3
Pamiers,3
Paris,105
Peine,3
Peking,3
Pembroke,6
Persien,9
Pest,3
Petersburg,12
Peterwardein,6
Pfalz,27
Pfalz-Neuburg,3
Philippsburg,9
Piemont,3
Pinneberg,3
Plittersdorf,3
Po,6
Pole,3
Polen,192
Pommern,15
Porto,3
Portugal,6
Portugiesen,3
Posen,3
Potsdam,30
Pottendorf,3
Prag,6
Preußen,288
Pruth,3
Pyrmont,30
Pöllnitz,3
Quedlinburg,9
Raab,9
Rantzau,9
Rappach,3
Rastatt,3
Ratzeburg,3
Ravenna,3
Regensburg,12
Rhein,42
Rhône,3
Riga,9
Rijswijk,3
Rom,96
Rotes Meer,3
Rotterdam,3
Ruhr,12
Russland,6
Römer,18
Sachsen,66
Sachsen-Gotha,3
Sachsen-Lauenburg,3
Sachsen-Merseburg,3
Saint Cyr,3
Saint Germain,12
Saint James,6
Saint-Germain,3
Salisbury,12
Salm,3
Salzburg,3
Salzdahlum,18
San Spirito,3
Savoyen,24
Scarlati,3
Schlesien,9
Schmettau,6
Schotte,21
Schottland,33
Schulenburg,9
Schwaben,3
Schwarze Meer,3
Schwede,3
Schweden,336
Schwedt,3
Schönhausen,6
Seeland,3
Seesen,3
Sesto,3
Shrewsbury,6
Siebenbürgen,9
Siena,3
Singen,3
Sizilien,6
Smyrna,3
Soest,3
Sorbonne,12
Spandau,12
Spanheim,3
Spanien,93
Spanier,39
Stade,6
Stamford,3
Starhemberg,3
Steevenswert,3
Steiermark,3
Sternberg,3
Stettin,6
Stockholm,6
Stormarn,3
Strahlenheim,3
Straßburg,3
Styrum,9
Stör,6
Sulzbach,6
Tangermünde,3
Temeswar,6
Teplitz,9
Tettau,3
Thorn,3
Thüringen,3
Tirol,9
Tiroler,3
Tokaj,3
Torgau,18
Toskana,12
Transsilvanien,6
Trier,6
Tönning,12
Türke,42
Türkei,3
Ulm,9
Ungarn,51
Ursel,9
Utrecht,12
Vaudémont,3
Venedig,33
Venetien,3
Veneto,3
Venezianer,15
Venlo,3
Vesuv,3
Vigo,3
Wagenbourg,3
Walachei,3
Walachen,6
Wales,30
Wangenheim,3
Wardein,3
Warschau,51
Wartenberg,15
Wassenaer,3
Weichsel,3
Wesel,3
Weser,3
Weyhausen,3
Wien,255
Wildeshausen,6
Wismar,3
Wittenberg,9
Wolfenbüttel,177
Wolffenbüttel,3
Württemberg,9
York,3
Zell,3
Zellerfeld,3
Zerbst,6
Ziesar,3
Zweibrücken,6
Ägypten,9
Ägypter,15
Äthiopien,3
Ätna,3
