Place,Count
Aachen,2.0
Adda,1.0
Afrika,3.0
Ahlden,2.0
Ahlefeldt,9.0
Alpen,1.0
Alster,1.0
Altdorf,3.0
Altona,2.0
Amerika,3.0
Amsterdam,9.0
Amsterdamer,2.0
Anhalt,11.0
Anjou,4.0
Ansbach,6.0
Antwerpen,1.0
Aquileja,1.0
Arenberg,2.0
Armenier,1.0
Armorika,1.0
Asien,2.0
Astrachan,1.0
Augsburg,6.0
Augsburger,3.0
Australier,1.0
Auvergne,2.0
Avranches,3.0
Baden,7.0
Bamberg,2.0
Barcelona,4.0
Bayern,34.0
Bayreuth,4.0
Beichlingen,5.0
Belgrad,7.0
Bellamont,8.0
Bender,2.0
Berlin,178.0
Bevern,8.0
Bille,20.0
Blankenburg,3.0
Bonn,3.0
Borgholzhausen,1.0
Borgoforte,1.0
Boulogne,1.0
Bourg,1.0
Brandenburg,49.0
Brandenburger,3.0
Breda,1.0
Bremen,3.0
Brenta,1.0
Brescello,2.0
Breslau,6.0
Bretagne,1.0
Bristol,1.0
Bruchhausen,2.0
Brüssel,3.0
Buckow,2.0
Buda,3.0
Burgdorf,3.0
Burgund,10.0
Böhmen,3.0
Bückeburg,4.0
Cadiz,1.0
Cambray,1.0
Cambridge,2.0
Campen,2.0
Celle,75.0
Chaldäa,2.0
Chaldäer,6.0
Champagne,1.0
Charlottenburg,3.0
China,10.0
Chinese,3.0
Chios,1.0
Clausthal,1.0
Condom,1.0
Coppenbrügge,1.0
Crossen,1.0
Dalmatien,1.0
Danzig,3.0
Den Haag,8.0
Dennem,1.0
Detmold,1.0
Deutschland,21.0
Dixmuiden,1.0
Dohna,7.0
Donau,13.0
Donauwörth,3.0
Dover,1.0
Dresden,12.0
Däne,52.0
Dänemark,39.0
Düsseldorf,2.0
Ebdorff,1.0
Ebsdorff,2.0
Ebstorf,5.0
Eider,2.0
Elbe,5.0
Elbing,1.0
England,158.0
Engländer,48.0
Ephesus,1.0
Essen,8.0
Etsch,1.0
Euböa,1.0
Europa,21.0
Europäer,2.0
Ferrara,1.0
Finnland,4.0
Florenz,4.0
Franken,3.0
Frankfurt,8.0
Frankreich,127.0
Franzose,46.0
Freising,1.0
Friesland,2.0
Fuentes,1.0
Fürstenberg,3.0
Fürstenfeldbruck,1.0
Gandersheim,2.0
Gargan,19.0
Genf,1.0
Genua,2.0
Gibel,1.0
Gibraltar,1.0
Glogau,1.0
Goslar,1.0
Gotha,3.0
Graupen,2.0
Greiffenstein,1.0
Greifswald,1.0
Grieche,7.0
Großbritannien,21.0
Großburgwedel,1.0
Grönland,1.0
Gundelsheim,1.0
Göhrde,7.0
Göteborg,2.0
Güstrower,1.0
Hackelberg,1.0
Halle,3.0
Hamburg,17.0
Hammerstein,8.0
Hannover,259.0
Hanover,7.0
Harburg,6.0
Harburger,2.0
Harz,9.0
Heidelberg,3.0
Helmstedt,9.0
Herford,1.0
Herzberg,1.0
Hessen,6.0
Hessen-Kassel,1.0
Het Loo,4.0
Hildesheim,23.0
Hildesheimer,4.0
Holland,53.0
Holländer,21.0
Holstein,22.0
Homburg,1.0
Hundisburg,1.0
Idria,1.0
Ilok,1.0
Indien,6.0
Ingenheim,1.0
Inn,10.0
Innsbruck,2.0
Irland,2.0
Israel,4.0
Italien,32.0
Italiener,6.0
Jena,3.0
Jerusalem,1.0
Kairo,2.0
Kap der Guten Hoffnung,1.0
Karlsbad,9.0
Kasan,1.0
Kassel,12.0
Kehl,1.0
Kiel,7.0
Kiew,1.0
Kliszów,2.0
Kniphausen,2.0
Koblenz,1.0
Konstantinopel,4.0
Kopenhagen,1.0
Krakau,13.0
Kroatien,1.0
Kurland,8.0
Kurpfalz,1.0
Kärnten,1.0
Köln,12.0
