Place,Count
"Chevraeana,1",1
A n a,1
Scaligerana,1
Perroniana,1
Thuana,1
Seldeniana,2
Menagiana,1
Valesiana,1
Sorberiana,1
Hause Braunschweig,1
Hannover,2
Berlin,1
Braunschweig,1
Lüneburg,1
Celle,1
Glaubenswechsel,1
Innsbruck,1
Dekorum,1
Polen,1
Raab,1
Sadeur8,1
Australier,1
La,1
b e l l e,1
Frankreich,3
Norwegen,1
Pariser,1
Emmaus,1
Rosenkranzbruderschaft,1
Mantua,1
Eure Kurfürstliche Durchlaucht,1
"Schlüs-
sel",1
Niederlande,1
Chinesen,1
Rom,2
Schweden,1
Deutschland,3
Maastricht,1
S.128,1
S.134,1
Franzose,1
Bongars12,1
Stadt,1
Altdorf,2
S.180,1
Römer,2
Braunkohl,1
Ägyptern,1
Chevreau,1
Ägypten,1
Ravenna,1
Timur-Leng,1
S.363,1
Tamerlans,1
Italiener,2
Königreichs,1
"Römischen
Reich",1
fortwachsen,1
Wittenberg,2
Nola,1
