Place,Count
Afrika,2
Ahlden,2
Alpen,1
Alster,1
Altdorf,3
Altona,2
Amerika,3
Amsterdam,9
Anhalt,4
Anjou,2
Ansbach,2
Antwerpen,1
Aquileja,1
Armenier,1
Asien,2
Astrachan,1
Augsburg,9
Australier,1
Avranches,3
Baden,4
Barcelona,3
Bayern,25
Beichlingen,5
Belgrad,7
Bender,2
Berlin,90
Bevern,4
Bille,1
Blankenburg,2
Bonn,1
Borgoforte,1
Boulogne,1
Brandenburg,34
Braunschweig,107
Breda,1
Bremen,1
Brenta,1
Brescello,2
Breslau,6
Bristol,1
Bruchhausen,2
Brüssel,1
Buckow,2
Budapest,5
Burgdorf,3
Burgund,9
Böhmen,3
Cadiz,1
Cambray,1
Cambridge,1
Campen,2
Celle,36
Chaldäa,2
Chaldäer,6
Champagne,1
Charlottenburg,3
China,10
Chios,1
Clausthal,1
Condom,1
Coppenbrügge,1
Crossen,1
Dalmatien,1
Danzig,3
Den Haag,7
Deutschland,14
Dixmuiden,1
Dohna,4
Donau,8
Donauwörth,3
Dover,1
Dresden,11
Dänemark,22
Düsseldorf,2
Ebstorf,1
Eider,1
Elbe,4
England,94
Engländer,31
Essen,5
Etsch,1
Europa,20
Europäer,1
Ferrara,1
Finnland,4
Florenz,2
Franken,3
Frankfurt,3
Frankreich,98
Franzose,2
Freising,1
Friesland,2
Fürstenberg,2
Fürstenfeldbruck,1
Gandersheim,1
Genf,1
Genua,2
Gibel,1
Gibraltar,1
Glogau,1
Goslar,1
Gotha,3
Graupen,2
Greifswald,1
Großbritannien,18
Grönland,1
Gundelsheim,1
Göhrde,2
Göteborg,2
Güstrow,1
Hackelberg,1
Halle,1
Hamburg,12
Hammerstein,2
Hannover,141
Harburg,5
Harz,2
Heidelberg,1
Helmstedt,9
Herrenhausen,10
Hessen,4
Het Loo,2
Hildesheim,11
Holland,33
Holländer,7
Holstein,16
Hundisburg,1
Idria,1
Ilok,1
Indien,2
Inn,2
Innsbruck,2
Irland,2
Israel,1
Italien,26
Italiener,6
Jena,3
Jerusalem,1
Kairo,2
Kap der Guten Hoffnung,1
Karlsbad,7
Kasan,1
Kassel,6
Kehl,1
Kiel,1
Kiew,1
Kliszów,2
Kniphausen,2
Koblenz,1
Konstantinopel,3
Kopenhagen,1
Krakau,12
Kroatien,1
Kurland,5
Kärnten,1
Köln,12
Königsberg,1
Königsmarck,5
Königstein,2
Köpenick,1
La Trappe,2
Lamspringe,1
Landsberg,1
Lauenburg,2
Laxenburg,2
Lehnin,3
Leipzig,8
Lenzen,3
Levante,2
Lichtenburg,1
Linsburg,6
Linz,4
Litauen,5
Litauer,1
Livland,2
Loccum,6
Lombardei,2
London,7
Loreto,1
Lothringen,13
Lustenburg,1
Lyon,3
Lüneburg,8
Lüttich,4
Maas,4
Maastricht,2
Madrid,1
Magdeburg,7
Mailand,2
Maine,2
Maintenon,2
Mainz,3
Malchow,2
Mantua,3
Marienbad,1
Marlborough,10
Maubuisson,2
Meaux,10
Mecklenburg,2
Memel,1
Meseritz,1
Mittelmeer,1
Modena,10
Monferrato,1
Monmouth,1
Montepulciano,1
Morea,1
Moskau,5
München,3
Münster,2
Namur,2
Nassau,2
Neapel,5
Neuburg,2
Newcastle,1
Niederlande,1
Niedersachsen,1
Niederösterreich,1
Nimwegen,1
Nizza,1
Nola,1
Nordhausen,3
Nordmeer,1
Norwegen,2
Nöteburg,3
Nürnberg,2
Oberrhein,1
Orange,3
Oranien,6
Oranienbaum,1
Oranienburg,9
Orléans,11
Osnabrück,17
Ostfriesland,6
Ostrog,1
Ostsee,3
Pamiers,1
Paris,26
Peking,1
Pembroke,2
Persien,2
Petersburg,2
Peterwardein,2
Pfalz,10
Pfalz-Neuburg,1
Philippsburg,1
Piemont,1
Po,2
Pole,1
Polen,70
Pommern,6
Portugal,1
Portugiesen,1
Posen,1
Potsdam,9
Pottendorf,1
Prag,1
Preußen,51
Pruth,1
Pyrmont,3
Quedlinburg,2
Raab,1
Rantzau,8
Rappach,2
Rastatt,1
Ravenna,1
Regensburg,4
Rhein,11
Rhône,1
Riga,2
Rijswijk,3
Rom,32
Rotterdam,1
Ruhr,3
Russland,1
Römer,5
Sachsen,41
Sachsen-Gotha,1
Sachsen-Lauenburg,1
Saint Germain,1
Saint James,1
Saint-Germain,1
Salisbury,3
Salzburg,1
Salzdahlum,6
Savoyen,8
Schlesien,2
Schotte,3
Schottland,8
Schulenburg,10
Schwarze Meer,1
Schwede,1
Schweden,94
Schönhausen,1
Seeland,1
Seesen,1
Shrewsbury,2
Siebenbürgen,3
Siena,1
Singen,1
Sizilien,2
Smyrna,1
Sorbonne,4
Spandau,4
Spanien,27
Spanier,9
Stade,2
Steevenswert,1
Steiermark,1
Sternberg,1
Stettin,2
Stockholm,2
Stormarn,1
Straßburg,1
Stör,2
Sulzbach,1
Temeswar,2
Teplitz,3
Tettau,1
Thorn,1
Thüringen,1
Tirol,5
Tokaj,1
Torgau,4
Toskana,3
Transsilvanien,2
Trier,2
Tönning,4
Türkei,1
Ulm,2
Ungarn,14
Utrecht,4
Vaudémont,2
Venedig,8
Venetien,1
Venezianer,3
Venlo,1
Vigo,1
Walachei,1
Walachen,2
Wales,6
Wangenheim,1
Wardein,1
Warschau,16
Wartenberg,3
Weichsel,1
Weser,1
Wien,70
Wismar,1
Wittenberg,3
Wolfenbüttel,50
Württemberg,3
York,1
Zellerfeld,2
Zerbst,2
Ziesar,1
Ägypten,2
Ägypter,3
Äthiopien,1
Ätna,1
