Place,Count
Aachen,2
Adda,1
Afrika,3
Ahlden,2
Ahlefeldt,3
Alpen,1
Alster,1
Altdorf,2
Altona,2
Amerika,3
Amsterdam,8
Amsterdamer,1
Anhalt,7
Anjou,1
Ansbach,3
Antwerpen,1
Aquileja,1
Arenberg,1
Armenier,1
Armorika,1
Arnstadt,1
Asien,1
Astrachan,1
Augsburg,2
Augsburger,1
Australier,1
Auvergne,1
Avranches,3
Babel,1
Babylon,2
Baden,1
Bamberg,2
Barcelona,4
Baudrand,1
Bayern,22
Bayreuth,2
Beichlingen,1
Belgrad,7
Bellamont,2
Bender,1
Berlin,151
Bevern,4
Bille,1
Blankenburg,3
Blumenthals,1
Bonn,1
Bonnac,1
Borgholzhausen,1
Borgoforte,1
Bothmer,1
Boulogne,1
Bourg,1
Brandenburg,37
Brandenburger,3
Braun,1
Braunschweig,96
Braunschweig-Lüneburg,1
Braunschweiger,1
Breda,1
Bremen,3
Brenta,1
Brescello,1
Breslau,6
Bretagne,1
Brey,1
Bristol,1
Bruchhausen,2
Brüssel,3
Buckow,2
Buda,3
Burgdorf,3
Burgund,4
Bussche,1
Béthencourt,1
Böhmen,3
Bückeburg,4
Cadiz,1
Cambray,1
Cambridge,1
Campen,1
Celle,40
Chaldäa,3
Chaldäer,1
Champagne,1
Charlottenburg,3
Chartres,2
Chevreau,1
China,10
Chinese,3
Chios,1
Clausthal,1
Collen,1
Condom,1
Coppenbrügge,1
Crossen,1
Cöllen,2
Dalmatien,1
Danzig,3
Darmstadt,2
Dauphin,5
Den Haag,8
Dennem,1
Detmold,1
Deutschland,21
Dixmuiden,1
Dohna,1
Donau,6
Donauwörth,3
Dover,1
Dresden,12
Däne,13
Dänemark,35
Düsseldorf,1
Ebstorf,4
Eider,1
Eidermündung,1
Elbe,7
Elbing,1
Engensen,1
England,153
Engländer,49
Ephesus,1
Essen,1
Este,3
Estes,1
Etsch,1
Euböa,1
Europa,16
Europäer,2
Ferrara,1
Festung Ilok,1
Finnland,4
Flandern,1
Florenz,4
Franken,2
Frankfurt,6
Frankfurt an der Oder,1
Frankreich,122
Franzose,12
Freising,1
Friesland,1
Fuentes,1
Fürstenberg,2
Fürstenfeldbruck,1
Gandersheim,2
Gargan,1
Genf,1
Genua,2
Gibel,1
Gibraltar,1
Glogau,1
Gloucester,1
Goslar,1
Gotha,1
Graupen,1
