Place,Count
Berlin,13
Blankenburg,1
Braunschweig,12
Breslau,2
Burgund,1
Cambridge,1
Campen,1
Celle,1
Charlottenburg,1
China,1
Den Haag,3
Dresden,2
Dänemark,2
England,17
Essen,1
Frankreich,1
Großbritannien,1
Gundelsheim,1
Göhrde,1
Hamburg,2
Hannover,16
Helmstedt,4
Herrenhausen,1
Holland,1
Italien,1
Kiew,1
Krakau,2
Leipzig,2
Litauen,2
London,4
Lüneburg,1
Magdeburg,3
Maine,1
Marlborough,5
Merseburg,2
Orléans,4
Osnabrück,1
Ostrog,1
Paderborn,1
Paris,2
Pembroke,2
Polen,21
Posen,1
Prag,1
Preußen,5
Rom,1
Sachsen,11
Sachsen-Merseburg,2
Salzdahlum,3
Schlesien,1
Schottland,4
Schweden,13
Spandau,1
Spanien,2
Warschau,11
Wolfenbüttel,7
York,1
