Place,Count
Aachen,2
Adda,1
Ahlden,2
Ahlefeldt,9
Altdorf,3
Altona,2
Amsterdam,7
Ansbach,6
Antwerpen,1
Aquileja,1
Armorika,1
Astrachan,1
Augsburg,3
Avranches,3
Bamberg,2
Barcelona,4
Bayreuth,4
Beichlingen,4
Belgrad,7
Bender,2
Berlin,172
Bevern,7
Blankenburg,3
Bonn,1
Borgholzhausen,1
Borgoforte,1
Boulogne,1
Bourg,1
Brandenburg,45
Breda,1
Bremen,3
Brescello,1
Breslau,6
Bristol,1
Bruchhausen,2
Brüssel,3
Buckow,2
Buda,3
Burgdorf,2
Bückeburg,4
Cadiz,1
Cambray,1
Cambridge,2
Campen,2
Celle,75
Charlottenburg,3
Chios,1
Clausthal,1
Condom,1
Coppenbrügge,1
Crossen,1
Danzig,3
Den Haag,8
Detmold,1
Dixmuiden,1
Dohna,7
Donauwörth,3
Dover,1
Dresden,12
Düsseldorf,2
Ebstorf,8
Elbing,1
Ephesus,1
Essen,7
Ferrara,1
Florenz,4
Frankfurt,8
Freising,1
Fuentes,1
Fürstenberg,3
Fürstenfeldbruck,1
Gandersheim,1
Genf,1
Genua,2
Gibraltar,1
Glogau,1
Goslar,1
Gotha,2
Graupen,2
Greiffenstein,1
Greifswald,1
Großburgwedel,1
Gundelsheim,1
Göhrde,7
Göteborg,2
Güstrower,1
Hackelberg,1
Halle,2
Hamburg,16
Hammerstein,7
Hannover,264
Harburg,4
Heidelberg,3
Helmstedt,9
Herford,1
Herzberg,1
Hildesheim,18
Homburg,1
Hundisburg,1
Idria,1
Ingenheim,1
Innsbruck,2
Jena,3
Jerusalem,1
Kairo,2
Karlsbad,7
Kasan,1
Kassel,11
Kehl,1
Kiel,1
Kiew,1
Kliszów,2
Kniphausen,2
Koblenz,1
Konstantinopel,4
Kopenhagen,1
Krakau,13
Kärnten,1
Köln,11
Königsberg,1
Königsmarck,8
Königstein,3
Köpenick,2
Lamspringe,3
Landsberg,1
Lauenburg,2
Laxenburg,2
Lehnin,3
Leipzig,8
Lenzen,3
Linsburg,18
Linz,3
Loccum,9
London,11
Loreto,2
Lyon,3
Lübeck,1
Lüneborg,1
Lüneburg,14
Lüttich,5
Maastricht,2
Madrid,2
Magdeburg,10
Mailand,5
Maintenon,4
Mainz,5
Malchow,2
Malta,1
Mantua,3
Marienbad,1
Marlborough,23
Martinitz,1
Maubuisson,4
Meaux,14
Mecklenburg,6
Melle,1
Memel,1
Merseburg,3
Meseritz,1
Modena,17
Monferrato,1
Monmouth,2
Montepulciano,1
Moskau,5
München,5
Münster,10
Namur,2
Nassau,2
Nauplia,1
Neapel,6
Neuburg,3
Newcastle,2
Nienburg,2
Nimwegen,1
Nizza,1
Nola,1
Nordhausen,5
Nürnberg,2
Oeynhausen,1
Oldenburg,1
Orange,4
Oranienbaum,1
Oranienburg,10
Orléans,16
Osnabruck,2
Osnabrück,13
Osterode,2
Ostrog,1
Paderborn,1
Pamiers,1
Paris,30
Peine,1
Peking,1
Pembroke,2
Petersburg,3
Peterwardein,2
Philippsburg,3
Pinneberg,1
Plittersdorf,1
Porto,1
Posen,2
Potsdam,10
Pottendorf,1
Prag,2
Pyrmont,6
Quedlinburg,3
Raab,3
Rantzau,9
Rappach,3
Rastatt,1
Ratzeburg,1
Ravenna,1
Regensburg,4
Riga,3
Rijswijk,3
Rom,32
Rotterdam,1
Saint Cyr,1
Saint Germain,4
Saint James,1
Saint-Germain,2
Salisbury,4
Salzburg,1
Salzdahlum,7
Schulenburg,14
Schwedt,1
Schönhausen,2
Seesen,1
Sesto,2
Shrewsbury,3
Siebenbürgen,3
Siena,1
Singen,1
Smyrna,1
Soest,1
Sorbonne,4
Spandau,4
Stade,2
Stamford,8
Steevenswert,1
Sternberg,1
Stettin,2
Stockholm,2
Sulzbach,3
Tangermünde,1
Temeswar,2
Teplitz,3
Tettau,1
Thorn,1
Tokaj,1
Torgau,6
Trier,2
Tönning,4
Ulm,3
Ursel,18
Utrecht,4
Venedig,11
Venlo,1
Vigo,1
Wangenheim,3
Warschau,17
Wartenberg,16
Wesel,1
Weyhausen,1
Wien,82
Wildeshausen,2
Wismar,1
Wittenberg,3
Wolfenbüttel,69
York,1
Zell,1
Zellerfeld,2
Zerbst,2
Ziesar,1
Zweibrücken,3
