original_Place,original_Count,lat,lon,formatted,name,country,country_code,confidence,attribution,attribution_license,attribution_url
China,10,35.000074,104.999927,China,,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deutschland,19,51.1638175,10.4478313,Deutschland,,Deutschland,de,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dänemark,34,55.670249,10.3333283,Dänemark,,Dänemark,dk,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
England,143,51.561181,-0.320561,,,,,,,,
Finnland,3,63.2467777,25.9209164,Finnland,,Finnland,fi,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankreich,117,46.603354,1.8883335,Frankreich,,Frankreich,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Großbritannien,18,52.663642,-1.580326,Vereinigtes Königreich,Vereinigtes Königreich,Vereinigtes Königreich,gb,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Grönland,1,77.6192349,-42.8125967,Grönland,,Grönland,gl,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indien,6,22.3511148,78.6677428,Indien,,Indien,in,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irland,2,52.865196,-7.9794599,Irland,,Irland,ie,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Israel,1,30.8124247,34.8594762,Israel,,Israel,il,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Italien,24,42.6384261,12.674297,Italien,,Italien,it,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kroatien,1,45.3658443,15.6575209,Kroatien,,Kroatien,hr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Litauen,5,55.3500003,23.7499997,Litauen,,Litauen,lt,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niederlande,1,52.2434979,5.6343227,Niederlande,,Niederlande,nl,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Norwegen,2,61.1529386,8.7876653,Norwegen,,Norwegen,no,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Polen,89,52.215933,19.134422,Polen,,Polen,pl,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Portugal,2,39.6621648,-8.1353519,Portugal,,Portugal,pt,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Preußen,98,52.510971,13.404592,,,,,,,,
Russland,1,57.330360, 37.890815,Russland,,Russland,ru,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Schottland,11,56.669726,-4.194318,,,,,,,,
Schweden,117,59.6749712,14.5208584,Schweden,,Schweden,se,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Spanien,32,39.3260685,-4.8379791,Spanien,,Spanien,es,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Türkei,1,38.9597594,34.9249653,Türkei,,Türkei,tr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ungarn,16,47.1817585,19.5060937,Ungarn,,Ungarn,hu,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ägypten,3,26.2540493,29.2675469,Ägypten,,Ägypten,eg,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Äthiopien,1,10.2116702,38.6521203,Äthiopien,,Äthiopien,et,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
