Place,lat,lon,attribution,attribution_license,attribution_url
China,35.000074,104.999927,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deutschland,51.1638175,10.4478313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dänemark,55.670249,10.3333283,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
England,51.561181,-0.320561,,,
Finnland,63.2467777,25.9209164,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankreich,46.603354,1.8883335,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Großbritannien,52.663642,-1.580326,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Grönland,77.6192349,-42.8125967,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indien,22.3511148,78.6677428,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Irland,52.865196,-7.9794599,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Israel,30.8124247,34.8594762,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Italien,42.6384261,12.674297,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Kroatien,45.3658443,15.6575209,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Litauen,55.3500003,23.7499997,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Niederlande,52.2434979,5.6343227,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Norwegen,61.1529386,8.7876653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Polen,52.215933,19.134422,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Portugal,39.6621648,-8.1353519,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Preußen,52.510971,13.404592,,,
Russland,64.6863136,97.7453061,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
