Place,Count
Anhalt,9
Anjou,4
Auvergne,2
Baden,7
Bayern,34
Bretagne,1
Burgund,10
Böhmen,2
Champagne,1
Dalmatien,1
Euböa,1
Friesland,2
Hessen,6
Hessen-Kassel,1
Holland,48
Holstein,21
Kurland,8
Kurpfalz,1
Levante,2
Livland,3
Lombardei,2
Lothringen,14
Maine,2
Moray,1
Morea,1
Niedersachsen,1
Niederösterreich,1
Ostfriesland,9
Persien,2
Pfalz,20
Pfalz-Neuburg,1
Piemont,1
Pommern,6
Sachsen,53
Sachsen-Gotha,1
Sachsen-Lauenburg,1
Sachsen-Merseburg,2
Salm,13
Savoyen,9
Schlesien,2
Seeland,1
Sizilien,2
Steiermark,1
Stormarn,1
Thüringen,1
Tirol,3
Toskana,4
Transsilvanien,2
Vaudémont,2
Venetien,1
Walachei,1
Wales,16
Württemberg,6
