Place,Count,lat,lon,attribution,attribution_license,attribution_url
Aachen,2,50.776351,6.083862,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,2,52.3730796,4.8924534,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anhalt,5,51.81717865,11.814186642054064,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anjou,2,47.473275,-0.594874,,,
Ansbach,4,49.9181475,9.6217529,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Auvergne,2,45.699945,3.299964,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baden,3,48.551801,8.423231,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bamberg,2,49.8916044,10.8868478,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Barcelona,1,41.3828939,2.1774322,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayern,9,48.9467562,11.4038717,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayreuth,4,49.9427202,11.5763079,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Berlin,88,52.5170365,13.3888599,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bevern,3,53.7555192,9.7711499,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blankenburg,1,51.2031236,10.7476184,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Borgholzhausen,1,52.1007247,8.3023897,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bourg,1,45.0394689,-0.5596107,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brandenburg,17,52.3362346,9.174755462956416,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Braunschweig,35,52.262283,10.522956,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bremen,2,53.0758196,8.8071646,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bretagne,1,48.2640845,-2.9202408,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brüssel,2,50.8465573,4.351697,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burgund,1,47.052609,4.383719,,,
Bückeburg,4,52.2611037,9.0488959,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambridge,1,52.2055314,0.1186637,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Celle,39,52.624056,10.081052,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Den Haag,1,52.0799838,4.3113461,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Detmold,1,51.936284,8.8791526,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Deutschland,7,51.1638175,10.4478313,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dohna,3,50.955232,13.8587012,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dresden,1,51.0493286,13.7381437,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dänemark,17,55.670249,10.3333283,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ebstorf,7,53.0273634,10.4178494,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Elbing,1,54.1558708,19.4044583,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
England,64,51.561181,-0.320561,,,
Ephesus,1,37.949589,27.351896,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Essen,2,51.4582235,7.0158171,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Euböa,1,38.519828,23.852789,,,
Florenz,2,43.7697955,11.2556404,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Frankfurt,5,50.1106444,8.6820917,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
