Place,Count,lat,lon,attribution,attribution_license,attribution_url
Aachen,2,50.776351,6.083862,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahlden,2,52.7591196,9.5515675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Alpen,1,46.753019,9.773316,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Altdorf,3,48.5950276,9.2712933,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Altona,2,53.58646755,9.777669726868917,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Amsterdam,11,52.3730796,4.8924534,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anhalt,9,51.81717865,11.814186642054064,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Anjou,4,47.473275,-0.594874,,,
Ansbach,6,49.9181475,9.6217529,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Antwerpen,1,51.2211097,4.3997081,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aquileja,1,45.7696144,13.3697982,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Astrachan,1,46.3498308,48.0326203,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Augsburg,9,48.3690341,10.8979522,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Auvergne,2,45.699945,3.299964,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Avranches,3,48.68824785,-1.3633854644553556,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baden,7,48.551801,8.423231,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bamberg,2,49.8916044,10.8868478,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Barcelona,4,41.3828939,2.1774322,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayern,34,48.9467562,11.4038717,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bayreuth,4,49.9427202,11.5763079,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Beichlingen,5,51.2332814,11.2547956,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Belgrad,7,44.8178131,20.4568974,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bender,2,46.8218177,29.4819196,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Berlin,178,52.5170365,13.3888599,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bevern,7,53.7555192,9.7711499,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blankenburg,3,51.2031236,10.7476184,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bonn,1,50.735851,7.10066,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Borgholzhausen,1,52.1007247,8.3023897,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Borgoforte,1,45.5207469,12.2549419,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Boulogne,1,46.7947224,-1.3210389,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bourg,1,45.0394689,-0.5596107,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brandenburg,51,52.3362346,9.174755462956416,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Braunschweig,142,52.262283,10.522956,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Breda,1,51.5887845,4.7760237,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bremen,3,53.0758196,8.8071646,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brescello,2,44.9012244,10.515728,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Breslau,6,51.1089776,17.0326689,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bretagne,1,48.2640845,-2.9202408,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bristol,1,51.4538022,-2.5972985,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bruchhausen,2,50.6024988,7.2536222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Brüssel,3,50.8465573,4.351697,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Buckow,2,52.5786194,12.5450727,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Budapest,5,47.4938673,19.0417582,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burgdorf,3,52.4438008,10.0078364,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Burgund,10,47.052609,4.383719,,,
Böhmen,3,50.077653,14.43208,,,
Bückeburg,4,52.2611037,9.0488959,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cadiz,1,36.5297438,-6.2928976,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambray,1,48.173771,1.7161944,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cambridge,2,52.2055314,0.1186637,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Campen,2,52.6667657,8.9491653,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Celle,75,52.624056,10.081052,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chaldäa,8,32.520346,45.064036,,,
Champagne,1,48.965329,4.366658,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Charlottenburg,3,52.515747,13.3096834,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
China,10,35.000074,104.999927,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chios,1,45.2839665,7.4037719,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
